Country_Region,Population
US,331002651
Costa Rica,5094118
Bahamas,393244
China,1439323776
Brazil,212559417
Cote dIvoire,26378274
Saudi Arabia,34813871
Lithuania,2722289
Guinea,13132795
France,65273511
Cyprus,1207359
Singapore,5850342
Egypt,102334404
Australia,25499884
Netherlands,17134872
Cambodia,16718965
Chad,16425864
United Arab Emirates,9890402
Congo (Kinshasa),89561403
Laos,7275560
Liberia,5057681
Oman,5106626
Honduras,9904607
Slovenia,2078938
Sudan,43849260
Nigeria,206139589
Germany,83783942
Russia,145934462
Thailand,69799978
Kenya,53771296
Canada,37742154
Bahrain,1701575
Pakistan,220892340
Paraguay,7132538
Mexico,128932753
Namibia,2540905
Saint Lucia,183627
Peru,32971854
Nicaragua,6624554
Jamaica,2961167
Panama,4314767
El Salvador,6486205
Estonia,1326535
India,1380004385
Iraq,40222493
Burma,54409800
Guinea-Bissau,1968001
Taiwan*,23816775
Finland,5540720
Maldives,540544
Montenegro,628066
Mozambique,31255435
Ukraine,43733762
Burkina Faso,20903273
Morocco,36910560
Sri Lanka,21413249
Switzerland,8654622
Bulgaria,6948445
Gabon,2225734
Andorra,77265
Libya,6871292
Israel,8655535
Senegal,16743927
South Africa,59308690
New Zealand,4822233
Venezuela,28435940
Cabo Verde,555987
Bosnia and Herzegovina,3280819
Latvia,1886198
Iceland,341243
Azerbaijan,10139177
Gambia,2416668
Belgium,11589623
Trinidad and Tobago,1399488
Uruguay,3473730
United Kingdom,67886011
Mongolia,3278290
Angola,32866272
Mauritania,4649658
Belize,397628
Madagascar,27691018
Eritrea,3546421
Uganda,45741007
Norway,5421241
Congo (Brazzaville),5518087
Dominican Republic,10847910
Sweden,10099265
Fiji,896445
Greece,10423054
Spain,46754778
Kyrgyzstan,6524195
Eswatini,1160164
Portugal,10196709
Seychelles,98347
Grenada,112523
Ethiopia,114963588
Slovakia,5459642
Algeria,43851044
Iran,83992949
Albania,2877797
Turkey,84339067
Equatorial Guinea,1402985
Malta,441543
Denmark,5792202
Afghanistan,38928346
Poland,37846611
Niger,24206644
Papua New Guinea,8947024
Malaysia,32365999
North Macedonia,2083374
Bangladesh,164689383
Antigua and Barbuda,97929
Syria,17500658
Ireland,4937786
Zambia,18383955
Chile,19116201
Guatemala,17915568
Serbia,8737371
Czechia,10708981
Togo,8278724
Lebanon,6825445
Ghana,31072940
Uzbekistan,33469203
San Marino,33931
Saint Vincent and the Grenadines,110940
Japan,126476461
Georgia,3989167
Holy See,801
Nepal,29136808
Bhutan,771608
Vietnam,97338579
Romania,19237691
West Bank and Gaza,5101414
Mali,20250833
Ecuador,17643054
Cameroon,26545863
Belarus,9449323
Croatia,4105267
Hungary,9660351
Tanzania,59734218
Liechtenstein,38128
Austria,9006398
Benin,12123200
Mauritius,1271768
Luxembourg,625978
Indonesia,273523615
Moldova,4033963
Saint Kitts and Nevis,53199
Djibouti,988000
Somalia,15893222
Bolivia,11673021
Philippines,109581078
Timor-Leste,1318445
Suriname,586632
Kuwait,4270571
Guyana,786552
Tunisia,11818619
Barbados,287375
Monaco,39242
"Korea, South",51269185
Central African Republic,4829767
Italy,60461826
Qatar,2881053
Argentina,45195774
Jordan,10203134
Cuba,11326616
Armenia,2963243
Zimbabwe,14862924
Kazakhstan,18776707
Rwanda,12952218
Haiti,11402528
Colombia,50882891
Dominica,71986
